ZIP_Code,Count_Part_1_Crime,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Median_AirBNB_Price_June ,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June ,Median_Price_Shared_Room_June,Median_Price_September,Median_Price_Entire_Home/Apt_September,Median_Price_Hotel_Room_September,Median_Price_Private_Room_September,Median_Price_Shared_Room_September,Population,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,,
90001,1061,1,0,0,0,21,110.5,121,0,60,0,94,107.5,0,62,0,56189,0.01888,0.000373739,0.000018,,
90002,196,1,0,0,0,14,84,84,0,0,0,82,87,0,68,0,52122,0.00376,0.000268601,0.000019,,
90003,8,3,1,1,1,24,80,263,0,37,0,79,158,0,47,0,70065,0.00011,0.000342539,0.000043,,
90004,2,1,0,0,0,22,134,163.5,0,82,30,142,173,0,57.5,60,58484,0.00003,0.000376171,0.000017,,
90005,2,1,0,0,0,13,115,147,331,52,22.5,103,130,331,51.5,23,39142,0.00005,0.000332124,0.000026,,
90006,1,2,1,1,0,13,90,155,0,49,16,84.5,156,0,52,16,55527,0.00002,0.00023412,0.000036,,
90007,5,1,0,0,0,22,55,121,0,47,49,48,134,0,42,36,38715,0.00013,0.000568255,0.000026,,
90011,5,3,1,1,0,38,56,142.5,0,53,24.5,42.5,172,0,52.5,26,100113,0.00005,0.000379571,0.000030,,
90012,244,8,1,1,5,8,145,176,211,59,0,146,166,156,58,32,37336,0.00654,0.00021427,0.000214,,
90014,0,2,1,1,0,0,185,186,0,178,49,184,186,0,155,45.5,10224,0.00000,0,0.000196,,
90015,22,4,3,3,0,15,186.5,190,0,109,25,172.5,175.5,0,141,20,24704,0.00089,0.000607189,0.000162,,
90016,0,1,0,0,0,11,125,153,0,60,48.5,99.5,155.5,0,59,8,46457,0.00000,0.000236778,0.000022,,
90017,1,1,1,1,0,16,165,165,0,128,23,148.5,155,0,128,24,30172,0.00003,0.000530293,0.000033,,
