ZIP_Code,Population,Part_1_Crime_Count,Part_1_Crime_Per_Capita,Count_Educational_Facility,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Airbnb_Listings_Count_June,Airbnb_Listings_Per_Capita_June,Median_Price_June,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June ,Median_Price_Shared_Room_June,LAX_Median_Distance_June_(KM),Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Park_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),Aquarium_of_the_Pacific_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),Queen_Mary_Median_Distance_June_(KM),Airbnb_Listings_Count_Sept,Airbnb_Listings_Per_Capita_Sept,LAX_Distance_Median_Sept_(KM)
90001,56189,1061,0.0188827,21,1,0,0,0,40,0.000711883,110.5,121,0,60,0,16.0573001,15.85683278,18.29545095,8.385417583,16.57587761,16.575164,21.31300761,7.638627839,5.924067647,18.87398613,14.25369679,23.94143859,16.54331091,20.58457374,24.42139348,23.7979544,25.50397461,45,0.000800868,16.15332824
90002,52122,196,0.00376041,14,1,0,0,0,13,0.000249415,84,84,0,0,0,14.69666784,18.67694189,21.57022072,11.98099014,19.2509623,19.24357487,20.9404179,10.97300961,8.453793863,21.91607689,16.3080302,25.29520034,19.71778309,23.36805272,21.0972591,23.79462849,22.20733554,14,0.000268601,14.75947762
90003,70065,8,0.00011418,24,3,1,1,1,45,0.000642261,80,263,0,37,0,12.44438448,17.66126732,21.06888141,11.96571589,18.06417475,18.05045156,18.54116014,10.63684538,7.655630725,21.10032841,14.71098608,23.01308006,19.10797138,22.22891367,22.07685623,21.24539372,23.21980506,47,0.000670806,12.50366304
90004,58484,2,0.0000342,22,1,0,0,0,277,0.004736338,134,163.5,0,82,30,17.71090118,3.360379846,6.821873688,5.964371953,4.194919708,4.210096125,18.13405141,5.309938309,7.205132565,6.54240144,4.779268237,15.34278359,4.753543601,7.98672576,36.56202591,19.01331306,37.69181779,307,0.005249299,17.73206863
90005,39142,2,0.0000511,13,1,0,0,0,294,0.007511113,115,147,331,52,22.5,16.61405274,5.293927275,8.675265637,4.792500058,5.99918704,5.999111173,17.75347965,3.624207774,5.047795777,8.595033524,5.119854432,16.063875,6.676884712,10.01159174,34.46552054,18.94255074,35.58518838,290,0.007408921,16.61405274
90006,55527,1,0.00001801,13,2,1,1,0,261,0.004700416,90,155,0,49,16,15.94546198,6.713992953,9.738591992,4.139367792,7.366763713,7.362762097,17.71988926,2.68216072,3.803025459,9.847863796,5.849700492,16.78537266,7.784635584,11.37461667,33.17623808,19.14466416,34.30139191,257,0.004628379,15.92607368
90007,38715,5,0.00012915,22,1,0,0,0,176,0.004546042,55,121,0,47,49,14.71395023,8.843272102,11.97798478,4.63490035,9.439801414,9.436785823,17.19913644,2.676490456,1.818767019,12.07808429,7.256236265,17.67692708,9.988220287,13.4944322,30.94073301,18.92534263,32.06175278,205,0.005295105,14.55307076
90011,100113,5,0.00004994,38,3,1,1,0,79,0.000789108,56,142.5,0,53,24.5,16.1050159,11.95172052,14.08419398,4.200383584,12.82882162,12.8351742,19.72982846,3.540550298,2.637441381,14.77992914,10.93314005,21.04616241,12.38774592,16.68738702,28.66158108,21.69042571,29.74279169,109,0.00108877,16.47972776
90012,37336,244,0.00653525,8,8,1,1,5,326,0.008731519,145,176,211,59,0,19.87238928,9.05583059,9.871478518,1.053493781,10.2419932,10.26250312,22.37737524,2.84717977,5.866060437,11.12833849,10.36901067,21.32084178,8.577137709,13.42644609,33.2325189,23.88415181,34.30117102,322,0.008624384,19.87238928
90015,24704,22,0.00089054,15,4,3,3,0,347,0.014046308,186.5,190,0,109,25,17.55315196,8.872884657,10.97411096,1.688774203,9.806508823,9.816012584,20.19611052,0.796680084,3.70501048,11.60616479,9.000249642,19.90357995,9.223897552,13.55972444,31.68973596,21.8740564,32.78474574,332,0.013439119,17.62773905
90016,46457,0,0,11,1,0,0,0,353,0.007598424,125,153,0,60,48.5,11.3267993,8.111453669,12.79920107,9.990414255,7.923246949,7.894509572,11.83784915,8.194224594,6.648485845,11.71526919,3.60072075,12.08339919,10.74654985,11.76301235,33.46645297,13.2948598,34.62245771,405,0.008717739,11.48855294
90017,30172,1,0.00003314,16,1,1,1,0,355,0.011765876,165,165,0,128,23,18.22772279,8.095670648,9.833560629,1.204586716,9.129738039,9.144434104,20.55110955,1.118609125,4.549939471,10.62205493,8.731750522,19.68407449,8.168233292,12.71536248,32.87650129,22.0706512,33.96551696,373,0.012362455,18.22772279
90018,48745,0,0,16,2,0,0,0,650,0.013334701,50,134,0,48,39,13.11120072,8.752093473,12.53383888,6.193334542,9.144775326,9.132657288,15.68882357,4.226315202,2.164362796,12.25613901,6.287810559,16.51457958,10.47516483,13.30564022,30.98500508,17.55089321,32.12287444,692,0.014196328,13.14507055
90019,59548,1,0.00001679,15,2,1,1,1,525,0.008816417,116.5,150,0,80,0,13.40484505,6.169682859,10.75756356,8.73928148,6.024610548,5.993483737,13.55381046,7.066610956,6.495051791,9.703354173,2.365380827,12.4860986,8.685561591,10.00428616,34.69043104,14.71034756,35.84065376,558,0.009370592,13.47602422
