,log_population,log_part_1_crime_count,crime_per_10k,crime_z,Count_Educational_Facility,education_facilities_z,Count_Public_Safety,public_safety_z,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,external_amenities_index,avg_landmark_distance_z,centrality_index,LAX_Median_Distance_June_(KM),Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Park_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),Aquarium_of_the_Pacific_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),Queen_Mary_Median_Distance_June_(KM)
log_population,1.0,0.0825072181658289,-0.09817605833482584,-0.09817605833482596,0.7185502219741069,0.718550221974107,0.13551753017818569,0.13551753017818566,0.1410423212632395,0.1410423212632395,0.014412679289627509,0.3604713973464368,-0.15306554888196863,0.15306554888196863,-0.13635059441312886,-0.1392691558700165,-0.1307485300225725,-0.17483694212571896,-0.13514020235395544,-0.13510610204764847,-0.11049557050609168,-0.17510207846843498,-0.17858401453092412,-0.12707125948837728,-0.14273307313955516,-0.10230215469171777,-0.13857117439267122,-0.11990763439386533,-0.1637256087941672,-0.10017790572206013,-0.16257532529105256
log_part_1_crime_count,0.0825072181658289,1.0,0.709131180420717,0.7091311804207183,0.22164716811619106,0.221647168116191,0.12729105619019848,0.12729105619019832,0.05670307518316967,0.05670307518316967,0.0695547369201359,0.14668976061143993,0.30409492624204376,-0.30409492624204376,0.21440348259680397,0.34336193893728645,0.344214197484879,0.22213874275634085,0.3507916386581694,0.35079637635519634,0.28618841190097544,0.2299490210421376,0.2131499166664656,0.36152420670531077,0.3258069399499348,0.36071891467501915,0.33864000397227545,0.3782718532395898,-0.00047733446351673936,0.31078126124728433,-0.003293264713356417
crime_per_10k,-0.09817605833482584,0.709131180420717,1.0,1.0,0.011165498680091564,0.01116549868009156,0.04458369664181765,0.04458369664181757,0.009308114701415696,0.009308114701415696,-0.0377717378425859,0.02359420152643131,0.1558581426673249,-0.1558581426673249,0.10171571131944665,0.1837218480315954,0.19086353513583154,0.10163586674159049,0.1881294541213971,0.18808787126619736,0.14967578512893287,0.10617833008933353,0.0945861917172277,0.20086922964423023,0.1685926247677851,0.20153078929828788,0.18377845343151988,0.21241808498062387,-0.04557532711562349,0.16795351651315515,-0.04744856015018771
crime_z,-0.09817605833482596,0.7091311804207183,1.0,1.0,0.011165498680091621,0.011165498680091665,0.0445836966418177,0.044583696641817584,0.009308114701415697,0.009308114701415697,-0.03777173784258595,0.023594201526431324,0.15585814266732498,-0.15585814266732498,0.1017157113194467,0.18372184803159555,0.1908635351358316,0.10163586674159054,0.18812945412139725,0.18808787126619744,0.1496757851289329,0.10617833008933357,0.09458619171722778,0.20086922964423057,0.1685926247677854,0.20153078929828797,0.1837784534315199,0.21241808498062392,-0.04557532711562337,0.16795351651315518,-0.04744856015018774
Count_Educational_Facility,0.7185502219741069,0.22164716811619106,0.011165498680091564,0.011165498680091621,1.0,1.0,0.2095349206642829,0.20953492066428273,0.23030687918977263,0.23030687918977263,0.023850868448811447,0.5298944322354326,-0.03558012916694096,0.03558012916694096,-0.03869332002272256,-0.021244639248952417,-0.01867707363827331,-0.11115991144841314,-0.011804085358551616,-0.011687428398663366,0.007680437747191,-0.10649326827383858,-0.10852816055130518,-0.003958263490092648,-0.027409103420738618,0.03631275579923928,-0.026866190944614697,0.014597199537891844,-0.09294994322119766,0.024309533307912374,-0.09311924370652032
education_facilities_z,0.718550221974107,0.221647168116191,0.01116549868009156,0.011165498680091665,1.0,1.0,0.20953492066428275,0.20953492066428286,0.23030687918977266,0.23030687918977266,0.023850868448811437,0.5298944322354326,-0.03558012916694101,0.03558012916694101,-0.03869332002272251,-0.021244639248952306,-0.018677073638273214,-0.11115991144841318,-0.011804085358551547,-0.011687428398663314,0.007680437747191061,-0.10649326827383844,-0.10852816055130507,-0.003958263490092634,-0.027409103420738563,0.03631275579923936,-0.02686619094461468,0.014597199537891875,-0.09294994322119764,0.024309533307912422,-0.09311924370652025
Count_Public_Safety,0.13551753017818569,0.12729105619019848,0.04458369664181765,0.0445836966418177,0.2095349206642829,0.20953492066428275,1.0,1.0,0.6484679808113603,0.6484679808113603,0.7186528556226073,0.7952375628285373,0.2056252103987066,-0.2056252103987066,0.17064313275360501,0.2193776164048621,0.21390879240019153,0.18979705289784257,0.21862428674530124,0.2185958702992109,0.1780376461165965,0.19646689173767487,0.19602037793757426,0.2166001338222341,0.21651895099697122,0.19358933751554583,0.21689630918759015,0.21448248744156717,0.07940585392043129,0.176960401213004,0.07675427323496559
public_safety_z,0.13551753017818566,0.12729105619019832,0.04458369664181757,0.044583696641817584,0.20953492066428273,0.20953492066428286,1.0,1.0,0.6484679808113605,0.6484679808113605,0.7186528556226072,0.7952375628285376,0.20562521039870685,-0.20562521039870685,0.17064313275360535,0.21937761640486222,0.21390879240019162,0.18979705289784288,0.2186242867453013,0.2185958702992111,0.17803764611659675,0.1964668917376752,0.1960203779375744,0.2166001338222341,0.2165189509969716,0.19358933751554616,0.21689630918759048,0.21448248744156737,0.07940585392043163,0.17696040121300433,0.07675427323496593
Count_Fire_Stations,0.1410423212632395,0.05670307518316967,0.009308114701415696,0.009308114701415697,0.23030687918977263,0.23030687918977266,0.6484679808113603,0.6484679808113605,1.0,1.0,0.3347915276514652,0.9133598637740842,-0.01286879253596573,0.01286879253596573,-0.03886492799849322,0.01903914357008948,0.02799824303622392,-0.03275312839375362,0.02154124783143996,0.02148502590799383,-0.024705709840596536,-0.031080132416505726,-0.03301879341310042,0.03279331007965071,0.004931581351861496,0.013760823045732633,0.021094221280909122,0.03935205183869812,-0.07724408533627623,-0.017904648206794955,-0.07838957343597037
Count_Police_Stations,0.1410423212632395,0.05670307518316967,0.009308114701415696,0.009308114701415697,0.23030687918977263,0.23030687918977266,0.6484679808113603,0.6484679808113605,1.0,1.0,0.3347915276514652,0.9133598637740842,-0.01286879253596573,0.01286879253596573,-0.03886492799849322,0.01903914357008948,0.02799824303622392,-0.03275312839375362,0.02154124783143996,0.02148502590799383,-0.024705709840596536,-0.031080132416505726,-0.03301879341310042,0.03279331007965071,0.004931581351861496,0.013760823045732633,0.021094221280909122,0.03935205183869812,-0.07724408533627623,-0.017904648206794955,-0.07838957343597037
