feature_1,feature_2,pearson_r,abs_r
crime_per_10k,crime_z,1.0,1.0
Count_Educational_Facility,education_facilities_z,1.0,1.0
Count_Public_Safety,public_safety_z,1.0,1.0
Count_Fire_Stations,Count_Police_Stations,1.0,1.0
avg_landmark_distance_z,centrality_index,-1.0,1.0
TCL_Chinese_Theater_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),0.9999983065239294,0.9999983065239294
Aquarium_of_the_Pacific_Median_Distance_June_(KM),Queen_Mary_Median_Distance_June_(KM),0.9998907772610269,0.9998907772610269
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),0.9984843288720333,0.9984843288720333
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),0.9984061237806944,0.9984061237806944
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),0.9964375408511518,0.9964375408511518
Griffith_Park_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),0.9957989481100069,0.9957989481100069
Griffith_Park_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),0.9940392048893522,0.9940392048893522
Venice_Beach_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),0.9936201958444507,0.9936201958444507
Hollywood_Sign_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),0.9924839860223179,0.9924839860223179
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),0.9923105866379953,0.9923105866379953
Hollywood_Sign_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.9922338514768839,0.9922338514768839
centrality_index,La_Brea_Median_Distance_June_(KM),-0.9901066200287431,0.9901066200287431
avg_landmark_distance_z,La_Brea_Median_Distance_June_(KM),0.9901066200287431,0.9901066200287431
Crypto_Arena_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),0.9899735678109056,0.9899735678109056
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),0.9875403115455479,0.9875403115455479
TCL_Chinese_Theater_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),0.9866848182648545,0.9866848182648545
Madame_Tussauds_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),0.986437698706675,0.986437698706675
TCL_Chinese_Theater_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),0.9859976289113943,0.9859976289113943
Madame_Tussauds_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),0.9856983376562829,0.9856983376562829
Madame_Tussauds_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),0.9837727593151325,0.9837727593151325
TCL_Chinese_Theater_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),0.9835291188503943,0.9835291188503943
TCL_Chinese_Theater_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.982474025084795,0.982474025084795
Madame_Tussauds_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),0.9823842173844775,0.9823842173844775
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),0.9807353112559303,0.9807353112559303
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Park_Median_Distance_June_(KM),0.9796673949674634,0.9796673949674634
