feature,VIF
crime_per_10k,inf
Count_Educational_Facility,inf
crime_z,inf
education_facilities_z,inf
Count_Public_Safety,inf
Count_Fire_Stations,inf
public_safety_z,inf
centrality_index,inf
avg_landmark_distance_z,inf
Count_Police_Stations,inf
external_amenities_index,inf
TCL_Chinese_Theater_Median_Distance_June_(KM),126751405.54504786
Madame_Tussauds_Median_Distance_June_(KM),118068091.87322927
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),245579.66890690205
Hollywood_Sign_Median_Distance_June_(KM),75406.89736296746
Griffith_Observatory_Median_Distance_June_(KM),36272.75927615898
Griffith_Park_Median_Distance_June_(KM),25155.55131596517
Aquarium_of_the_Pacific_Median_Distance_June_(KM),21160.773603693327
Queen_Mary_Median_Distance_June_(KM),20538.07603396425
Universal_Studios_Hollywood_Median_Distance_June_(KM),17594.11702875925
Crypto_Arena_Median_Distance_June_(KM),9640.484759290228
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),4339.863009769576
Santa_Monica_Pier_Median_Distance_June_(KM),4316.70368831035
Venice_Beach_Median_Distance_June_(KM),3957.336480035449
La_Brea_Median_Distance_June_(KM),2501.3613119881147
California_Science_Center_Median_Distance_June_(KM),1745.8736578913554
Getty_Center_Median_Distance_June_(KM),1405.162317691443
LAX_Median_Distance_June_(KM),500.6798337640027
log_part_1_crime_count,2.8338266055488104
Count_Corrective_Facility,2.773542842248153
log_population,2.6974545036342223
