feature,ridge_coef_standardized
California_Science_Center_Median_Distance_June_(KM),0.14362447867879188
log_population,-0.13540566328976397
Count_Public_Safety,0.11046111103565225
Crypto_Arena_Median_Distance_June_(KM),0.10805987400452266
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),0.09376603015934001
crime_per_10k,-0.07559253977306546
Getty_Center_Median_Distance_June_(KM),-0.07289109602757517
Santa_Monica_Pier_Median_Distance_June_(KM),-0.06725276278946508
log_part_1_crime_count,0.05734559484602756
Venice_Beach_Median_Distance_June_(KM),-0.055445130411861596
Count_Educational_Facility,-0.05098997901236775
Madame_Tussauds_Median_Distance_June_(KM),-0.050235109434352936
TCL_Chinese_Theater_Median_Distance_June_(KM),-0.04987672205139463
Count_Corrective_Facility,-0.04862881167042147
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),-0.03589684985267386
Queen_Mary_Median_Distance_June_(KM),-0.0316761791300929
Universal_Studios_Hollywood_Median_Distance_June_(KM),-0.02897726766035169
LAX_Median_Distance_June_(KM),0.024339425007936503
La_Brea_Median_Distance_June_(KM),-0.02278425147463894
Hollywood_Sign_Median_Distance_June_(KM),-0.019548578967149517
Griffith_Observatory_Median_Distance_June_(KM),-0.01885210996099305
Aquarium_of_the_Pacific_Median_Distance_June_(KM),-0.016044186685079908
Count_Fire_Stations,0.01175189586919822
Griffith_Park_Median_Distance_June_(KM),-0.008304835307322364
