ZIP_CODE,Population,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,amenities_index,Education_Per_10k,Education_z,Public_Safety_Per_10k,Public_Safety_z,Crime_Per_10k,Crime_z,crime_events,violent_crime_events,property_crime_events,part1_events,crime_events_per_capita,crime_events_per_10k,crime_events_z,violent_crime_per_capita,violent_crime_per_10k,property_crime_per_capita,property_crime_per_10k
90001,56189,1,0,0,0,21,0.01888,0.000373739,1.8e-05,-0.12443560189346914,3.73739,0.15150988852745534,0.18,-0.1287228280789623,188.8,0.000981509841559253,3571.0,1568.0,1828.0,2189.0,0.06355336453754294,635.5336453754294,-0.416406462779201,0.027905817864706615,279.05817864706614,0.0325330580718646,325.330580718646
90002,52122,1,0,0,0,14,0.00376,0.000268601,1.9e-05,-0.4462346875767851,2.68601,-0.35308720897699813,0.19,-0.12814227149929686,37.6,-0.06943777977920364,10385.0,4358.0,5446.0,5824.0,0.1992440811941215,1992.4408119412149,-0.07902935700414823,0.08361152680250182,836.1152680250182,0.10448562986838571,1044.8562986838572
90003,70065,3,1,1,1,24,0.00011,0.000342539,4.3e-05,0.9630383357348474,3.42539,0.0017692672284107952,0.43,-0.11420891358732614,1.1,-0.08643714532918939,26447.0,12230.0,12664.0,15192.0,0.3774637836294869,3774.637836294869,0.3640904737497239,0.17455220152715337,1745.5220152715337,0.1807464497252551,1807.4644972525512
90004,58484,1,0,0,0,22,3e-05,0.000376171,1.7e-05,-0.07846430393870969,3.7617100000000003,0.16318197798256046,0.17,-0.12930338465862773,0.3,-0.08680973416316168,14917.0,4206.0,9985.0,9170.0,0.2550612133233021,2550.6121332330213,0.059752594734432146,0.07191710553313727,719.1710553313726,0.17073045619314683,1707.3045619314682
90005,39142,1,0,0,0,13,5e-05,0.000332124,2.6e-05,-0.49220598553154454,3.32124,-0.04821626388792091,0.26,-0.12407837544163872,0.5,-0.08671658695466859,10337.0,3233.0,6602.0,6297.0,0.26408972459250935,2640.8972459250936,0.08220079956757323,0.08259669919779265,825.9669919779266,0.16866792703489858,1686.6792703489857
90006,55527,2,1,1,0,13,2e-05,0.00023412,3.6e-05,0.4573540582324937,2.3411999999999997,-0.5185745924068813,0.36,-0.11827280964498425,0.2,-0.08685630776740821,14678.0,5239.0,8599.0,8312.0,0.2643398706935365,2643.3987069353648,0.08282275492063575,0.09435049615502368,943.5049615502368,0.15486159886181497,1548.6159886181497
90007,38715,1,0,0,0,22,0.00013,0.000568255,2.6e-05,-0.07846430393870969,5.68255,1.0850658722647937,0.26,-0.12407837544163872,1.2999999999999998,-0.0863439981206963,15807.0,4032.0,10941.0,10180.0,0.4082913599380085,4082.913599380085,0.4407391843564445,0.10414567996900426,1041.4567996900425,0.2826036419992251,2826.036419992251
90011,100113,3,1,1,0,38,5e-05,0.000379571,3e-05,1.6066365071014792,3.7957099999999997,0.17949986620104597,0.3,-0.12175614912297694,0.5,-0.08671658695466859,21809.0,8384.0,11962.0,12293.0,0.21784383646479477,2178.4383646479478,-0.03278351383990399,0.08374536773446006,837.4536773446006,0.11948498197037348,1194.8498197037347
90012,37336,8,1,1,5,8,0.00654,0.00021427,0.000214,0.2274975684586966,2.1427,-0.6138422633295105,2.14,-0.014933738464534751,65.39999999999999,-0.05649031779866654,19499.0,5342.0,13027.0,10712.0,0.522257338761517,5222.573387615171,0.7241005891724323,0.14307906578101565,1430.7906578101565,0.34891257767302336,3489.1257767302336
90014,10224,2,1,1,0,0,0.0,0.0,0.000196,-0.14027281517937876,0.0,-1.6422051776162503,1.96,-0.025383756898512792,0.0,-0.08694945497590129,7494.0,2680.0,4519.0,5122.0,0.732981220657277,7329.81220657277,1.248037783576135,0.2621283255086072,2621.283255086072,0.4419992175273865,4419.9921752738655
90015,24704,4,3,3,0,15,0.00089,0.000607189,0.000162,2.4484167416700893,6.07189,1.2719248898820048,1.62,-0.04512268060713797,8.9,-0.08280440419795956,19884.0,5435.0,13642.0,13348.0,0.804889896373057,8048.898963730569,1.4268292402865264,0.22000485751295337,2200.0485751295337,0.5522182642487047,5522.182642487047
90016,46457,1,0,0,0,11,0.0,0.000236778,2.2e-05,-0.5841485814410633,2.3677799999999998,-0.5058178433231357,0.22,-0.12640060176030052,0.0,-0.08694945497590129,13198.0,4086.0,8355.0,7386.0,0.2840906644854381,2840.9066448543813,0.13193050385482638,0.08795229997632219,879.5229997632218,0.17984372645672342,1798.4372645672343
90017,30172,1,1,1,0,16,3e-05,0.000530293,3.3e-05,0.595267952096772,5.302930000000001,0.902871850926514,0.33,-0.12001447938398059,0.3,-0.08680973416316168,17474.0,5177.0,11706.0,11356.0,0.5791462282911308,5791.462282911309,0.8655473246100056,0.1715829245658226,1715.829245658226,0.3879756065226037,3879.756065226037
90018,48745,2,0,0,0,16,0.0,0.000328239,4.1e-05,-0.3542920916672663,3.2823900000000004,-0.06686185086698447,0.41000000000000003,-0.11537002674665703,0.0,-0.08694945497590129,11631.0,3894.0,6963.0,6521.0,0.2386090881116012,2386.090881116012,0.018846551015756493,0.07988511642219714,798.8511642219714,0.14284542004308134,1428.4542004308134
90019,59548,2,1,1,1,15,2e-05,0.000251898,3.4e-05,0.5492966541420126,2.51898,-0.43325123453975245,0.34,-0.11943392280431515,0.2,-0.08685630776740821,16951.0,4882.0,10953.0,9994.0,0.2846611137233828,2846.6111372338282,0.13334885079580727,0.08198428158796266,819.8428158796265,0.1839356485524283,1839.356485524283
90021,2897,1,0,0,0,8,0.00207,0.002761477,0.000345,-0.7220624753053416,27.61477,11.611169235301112,3.4499999999999997,0.061119173471638755,20.7,-0.07730871889686827,8913.0,2598.0,5958.0,6606.0,3.0766309975837074,30766.309975837074,7.075214455440611,0.8967897825336555,8967.897825336555,2.0566102865032794,20566.102865032793
90022,60343,3,1,1,0,25,0.023,0.000414298,5e-05,1.0090096336896066,4.14298,0.3461678968373256,0.5,-0.110145017529668,230.0,0.020169834791132202,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90023,43857,2,0,0,0,19,0.00321,0.000433226,4.6e-05,-0.21637819780298803,4.33226,0.4370105404254125,0.46,-0.11246724384832979,32.1,-0.07199932801276313,8972.0,2528.0,5907.0,5687.0,0.2045739562669585,2045.7395626695852,-0.06577732421573436,0.05764188156964681,576.4188156964681,0.1346877351392024,1346.8773513920241
90024,51675,2,0,0,0,7,2e-05,0.000135462,3.9e-05,-0.7680337732601009,1.3546200000000002,-0.9920717147184561,0.39,-0.11653113990598792,0.2,-0.08685630776740821,6105.0,1146.0,4627.0,3620.0,0.1181422351233672,1181.422351233672,-0.2806784216900952,0.022177068214804065,221.77068214804063,0.08954039671020803,895.4039671020803
90025,46508,1,1,1,0,11,6e-05,0.000236518,2.2e-05,0.3654114623229749,2.36518,-0.5070656818339612,0.22,-0.12640060176030052,0.6,-0.08667001335042207,13488.0,1916.0,11025.0,9293.0,0.29001462114044896,2900.14621140449,0.1466596422973826,0.041197213382643844,411.97213382643844,0.23705599036724864,2370.5599036724866
90026,62692,1,0,0,0,22,0.0,0.000350922,1.6e-05,-0.07846430393870969,3.50922,0.0420024604447534,0.16,-0.1298839412382932,0.0,-0.08694945497590129,17254.0,3759.0,12661.0,11654.0,0.2752185286798954,2752.1852867989537,0.10987110602812833,0.05995980348369808,599.5980348369808,0.20195559242008548,2019.5559242008549
90027,46558,1,0,0,0,9,4e-05,0.000193307,2.1e-05,-0.6760911773505822,1.93307,-0.7144516429542499,0.21,-0.12698115833996595,0.4,-0.08676316055891514,13055.0,2844.0,9621.0,8368.0,0.28040293827054424,2804.0293827054425,0.12276145804294128,0.061085098157137335,610.8509815713734,0.20664547446196144,2066.4547446196143
90028,32883,4,1,1,1,16,6e-05,0.000486574,0.000122,0.595267952096772,4.86574,0.6930478053312275,1.22,-0.06834494379375584,0.6,-0.08667001335042207,24077.0,8035.0,14175.0,14556.0,0.7322020496913298,7322.020496913298,1.2461004775328592,0.24435118450263055,2443.5118450263053,0.43107380713438553,4310.738071343855
90029,33303,1,0,0,0,7,0.0003,0.000210191,3e-05,-0.7680337732601009,2.10191,-0.6334189298128055,0.3,-0.12175614912297694,2.9999999999999996,-0.0855522468485052,8035.0,2627.0,4939.0,4608.0,0.24126955529531874,2412.6955529531874,0.025461452466412314,0.07888178242200403,788.8178242200403,0.14830495751133532,1483.0495751133533
90031,36127,1,0,0,0,18,0.0,0.000498242,2.8e-05,-0.2623494957577474,4.982419999999999,0.7490469581939599,0.27999999999999997,-0.12291726228230783,0.0,-0.08694945497590129,7209.0,2189.0,4629.0,4356.0,0.19954604589365293,1995.4604589365294,-0.07827856152687182,0.060591801145957316,605.9180114595731,0.1281313145292994,1281.313145292994
90032,43117,3,1,1,0,15,0.00014,0.000347891,7e-05,0.5492966541420126,3.4789100000000004,0.02745554303586241,0.7,-0.09853388593635908,1.4,-0.08629742451644977,6516.0,2052.0,4019.0,3645.0,0.15112368671289747,1511.2368671289746,-0.19867438371528168,0.04759143725212793,475.9143725212793,0.09321149430619013,932.1149430619014
90033,45647,4,2,2,1,21,0.00105,0.000460052,8.8e-05,1.7746844856346076,4.60052,0.5657586784692642,0.88,-0.08808386750238104,10.5,-0.08205922653001498,11872.0,4276.0,6905.0,6794.0,0.2600828093850636,2600.8280938506364,0.07223813234107844,0.09367537844765264,936.7537844765264,0.1512695248318619,1512.695248318619
