term,coef,std_err,z_value,p_value
Intercept,-108.28810456646549,1.937923623842035,-55.8784171028261,0.0
C(room_type)[T.Hotel room],-0.024599427496504393,0.03527870165458917,-0.6972883451708438,0.48562236037586226
C(room_type)[T.Private room],-1.0278644685951415,0.0056760961667589906,-181.08651411063823,0.0
C(room_type)[T.Shared room],-1.8953943248032026,0.026439441271358947,-71.68813838953648,0.0
C(month)[T.September],-0.032040961717539056,0.005144640173869763,-6.228027740458681,4.7234344778365e-10
log_minimum_nights,-0.18223037275898318,0.0031181469430578476,-58.44188105525162,0.0
log_number_of_reviews,-0.01798459268767863,0.0023454615570673797,-7.667826672957903,1.7493505638699178e-14
log_reviews_per_month,-0.16096298839268014,0.009046242036849145,-17.793354161541362,7.95710388729927e-71
log_host_listings_count,-0.003738347642222152,0.0020966266340316695,-1.7830297400322372,0.07458146227520596
log_availability_365,0.014172869030961897,0.0032992645986634752,4.295766103968531,1.7409106436628678e-05
log_number_of_reviews_ltm,-0.047780132744494504,0.004101961182233441,-11.648119185389051,2.3457901232328184e-31
LATITUDE,-0.4733507782510871,0.016145157856150862,-29.318436057951175,6.0379722711087665e-189
LONGITUDE,-1.1015162322139078,0.0159317335506222,-69.13975988324817,0.0
crime_events_z,-0.09932567909892948,0.007561935672685711,-13.134954249571498,2.07616876232841e-39
C(room_type)[T.Hotel room]:crime_events_z,-0.1253791796433179,0.04330382219568998,-2.895337484915982,0.0037875109059991776
C(room_type)[T.Private room]:crime_events_z,0.14079521910807105,0.02059397453257613,6.836719103704688,8.102739453856354e-12
C(room_type)[T.Shared room]:crime_events_z,-0.06680583754093802,0.03960830639838399,-1.6866623093903275,0.09166830334514472
Education_z,-0.034902574400111915,0.00445668628753227,-7.831508019254808,4.820525957445405e-15
Public_Safety_z,0.07993837311735978,0.0065643975598891294,12.177564260551872,4.0932429607183526e-34
amenities_index,-0.057138725827330365,0.003710288362097714,-15.400076827189089,1.634750127572916e-53
C(room_type)[T.Hotel room]:amenities_index,-0.0556385527730337,0.04144200423886886,-1.3425642363322225,0.1794131173023107
C(room_type)[T.Private room]:amenities_index,0.09073631958435059,0.006809887127449922,13.324203160225998,1.674106783047851e-40
C(room_type)[T.Shared room]:amenities_index,0.030688414487383322,0.025743291652587288,1.1920936491545762,0.23322452693437612
