feature,importance_mean,importance_std
Getty_Center_Median_Distance_June_(KM),0.11407413628159901,0.07444221680701003
Aquarium_of_the_Pacific_Median_Distance_June_(KM),0.0780071600740531,0.04848733449013686
crime_per_10k,0.07533850348579843,0.09770286393237373
external_amenities_index,0.06848548346599688,0.11094085573389315
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),0.06624212904315845,0.08079774979623455
log_part_1_crime_count,0.060701767646832015,0.034797706645858226
Venice_Beach_Median_Distance_June_(KM),0.043369960800629645,0.01864569122099037
California_Science_Center_Median_Distance_June_(KM),0.02216824138026143,0.030860165113444436
Santa_Monica_Pier_Median_Distance_June_(KM),0.012300028473706903,0.02252621117988888
Griffith_Park_Median_Distance_June_(KM),0.011618251274291568,0.017366638841781485
LAX_Median_Distance_June_(KM),0.005209669289105823,0.031641633809685356
centrality_index,0.0011895218038622923,0.0014639383783842904
Count_Corrective_Facility,0.0004307811059989897,0.0016464638149502337
Madame_Tussauds_Median_Distance_June_(KM),0.00023415256621732715,0.00042282200373033147
crime_z,0.0,0.0
Count_Police_Stations,0.0,0.0
education_facilities_z,0.0,0.0
public_safety_z,0.0,0.0
Count_Public_Safety,-0.00017446420723614685,0.023953748581256123
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),-0.00039102841907519005,0.004061893785061118
Queen_Mary_Median_Distance_June_(KM),-0.006850533884145182,0.004051088812667109
Griffith_Observatory_Median_Distance_June_(KM),-0.007047815668341517,0.026365964671649113
Count_Educational_Facility,-0.0076681376349200915,0.014098530507041738
Count_Fire_Stations,-0.011697982626643899,0.012581499533221456
La_Brea_Median_Distance_June_(KM),-0.01520535370752225,0.005957530790887553
Hollywood_Sign_Median_Distance_June_(KM),-0.017138038140502344,0.00988072192020967
TCL_Chinese_Theater_Median_Distance_June_(KM),-0.017793285167634787,0.008560368308735975
Crypto_Arena_Median_Distance_June_(KM),-0.023116799837005476,0.01492811511821788
avg_landmark_distance_z,-0.025936874696896872,0.006829572623880957
Universal_Studios_Hollywood_Median_Distance_June_(KM),-0.027621834651935528,0.007203499814145987
log_population,-0.1589126167308309,0.0944673553690742
